tweet_id,created_at,favorite_count,retweet_count,followers_count,profile_color,url,source
863079547188785154,Fri May 12 17:12:53 +0000 2017,8216,1015,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
863062471531167744,Fri May 12 16:05:02 +0000 2017,7903,2218,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
862831371563274240,Fri May 12 00:46:44 +0000 2017,17979,4717,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
862722525377298433,Thu May 11 17:34:13 +0000 2017,16040,3249,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
862457590147678208,Thu May 11 00:01:27 +0000 2017,19125,4508,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
862096992088072192,Wed May 10 00:08:34 +0000 2017,69497,21242,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
861383897657036800,Mon May 08 00:54:59 +0000 2017,33866,9832,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
861288531465048066,Sun May 07 18:36:02 +0000 2017,16104,3804,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
861005113778896900,Sat May 06 23:49:50 +0000 2017,15670,3513,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
860981674716409858,Sat May 06 22:16:42 +0000 2017,0,1970,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
860924035999428608,Sat May 06 18:27:40 +0000 2017,0,728,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
860563773140209665,Fri May 05 18:36:06 +0000 2017,7043,1970,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
860524505164394496,Fri May 05 16:00:04 +0000 2017,22238,4884,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
860276583193509888,Thu May 04 23:34:55 +0000 2017,17306,3248,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
